lga_code,a_total,b_total,c_total,d_total,e_total,f_total,offence_total,lga_name,volunteer_rating_percentage
24600,3135.8475234498887,16107.753909621397,1602.0033281574924,4231.945020884887,2587.8850283618185,133.7347990481707,27799.16960952365,Melbourne (C),21.2
24650,1228.862037689051,5042.852346917771,388.3241635842928,445.3209426024484,711.1465197413982,26.639311657420933,7843.145322192383,Melton (S),11.5
24780,1825.6894210370615,5809.166462169143,681.930787966756,1336.3494350459173,1298.9454679886353,27.594566540092494,10979.676140747606,Mildura (RC),22.3
24850,1943.637652337984,4247.113913646052,426.9721602579407,794.8646057463187,1322.751984143469,56.34516976825658,8791.685485900021,Mitchell (S),21.0
24900,985.633613035573,2638.7750999653063,481.09474957493984,517.5129644697676,525.9917049316498,21.54797972683401,5170.556111704072,Moira (S),26.7
24970,649.0171992028003,3923.1690322330096,218.7786602799994,253.9617572892943,308.0855190008412,11.048485692564954,5364.06065369851,Monash (C),18.2
25060,942.9648643108852,5042.453111818768,424.05598060353725,412.2409733337806,500.3676582686461,25.03548477434095,7347.118073109958,Moonee Valley (C),16.7
25150,978.0659448713066,3899.867634759446,291.3347675104395,379.8916025731345,595.1568613976484,32.98294978524483,6177.29976089722,Moorabool (S),21.9
25250,998.7732456582368,5607.853918900086,330.06980186203407,359.7223538414304,565.4478180689418,21.974403534805354,7883.841541865533,Moreland (C),15.7
25340,980.2402348843058,3883.8690940831125,333.6116388772001,640.8453573540592,777.3744672876285,26.97533475618186,6642.916127242487,Mornington Peninsula (S),20.2
25430,1425.3262639194784,2856.0071414621116,366.669547043921,533.5513358187679,1049.1554269741932,44.243424116519705,6274.953139334992,Mount Alexander (S),33.7
25490,1753.740711301781,2684.5997218218845,527.8371231935485,720.9935504341404,1138.7489231474603,31.948666695469235,6857.868696594282,Moyne (S),33.5
25620,995.0806085390068,2419.751638380487,269.9910879822936,661.0217785371862,301.2427439556871,113.46563724509778,4760.553494639758,Murrindindi (S),31.9
25710,559.2630980578796,2616.1760913771323,140.76990200105652,165.35452163209436,319.87833535566494,16.85998915740331,3818.3019375812305,Nillumbik (S),22.9
25810,2187.821884950342,5341.291903812529,729.8503342021884,1108.2227213077927,1131.989678210888,66.75395774691997,10565.930480230661,Northern Grampians (S),29.9
25900,1400.4583663628352,7328.466678449277,655.1759871101166,1179.3329179723762,711.0226596187291,76.51339473857456,11350.970004251907,Port Phillip (C),20.2
25990,1235.2372937569949,3214.9334045087817,258.246835542681,405.24354556356366,516.5101272237155,61.70110573774109,5691.872312333478,Pyrenees (S),31.7
26080,222.84830839826319,2555.0460257745,26.316464536936998,322.2980117818321,118.22425473658136,45.926037617493435,3290.6591028456073,Queenscliffe (B),38.8
26170,972.3759433519479,2619.267468585806,254.0126700942467,388.5452942343064,715.2045706574245,17.93404609392216,4967.339993017654,South Gippsland (S),31.5
26260,1371.6382444830772,3224.8056798964185,469.52023704405553,890.6729929451782,834.0483980842953,59.91252643865538,6850.59807889168,Southern Grampians (S),34.3
26350,917.3555830208722,6501.496366718463,506.67825467450484,780.6667340083944,438.9825110020744,30.823856409204797,9176.003305833514,Stonnington (C),21.7
26430,1017.7771796540299,2707.6918608756737,294.1408163046891,352.2734910983992,526.4775428535853,79.78076852509474,4978.141659311472,Strathbogie (S),31.3
26490,555.1303201699711,3261.483521672464,146.16017098292247,398.6814324494444,285.2592882540411,27.08797701085649,4673.8027105397,Surf Coast (S),28.6
26610,2099.0430907948626,3975.606304688836,649.9581281865612,1336.8114624888838,1629.0824405279247,44.505899403351876,9735.007326090421,Swan Hill (RC),28.4
26670,1010.383824529129,2111.9519859060442,137.58055488499713,648.3854115300143,302.4896111332066,81.94063802692179,4292.732026010313,Towong (S),40.5
26700,1588.9321605027865,3671.625767505847,818.1975845532581,1599.2139992933712,1217.0790925158758,121.82527769059399,9016.873882061733,Wangaratta (RC),26.9
26730,1226.4753252625892,3401.3832520212222,391.64349888672496,594.3115081589824,937.3906451742102,21.571906006091268,6572.776135509821,Warrnambool (C),25.8
26810,2247.39189277315,4956.9336062989005,492.90169181672746,812.8657457399909,1382.584733491636,40.75518453743706,9933.432854657842,Wellington (S),26.4
26890,1073.5784993334546,1643.6874825356476,308.7995370072746,363.8349313464302,458.5514635953994,28.86464110648958,3877.316554924696,West Wimmera (S),45.0
26980,599.4755128292843,3245.2920224873696,177.15889241553367,203.60464670073208,320.9542963371343,22.709083579001486,4569.194454349055,Whitehorse (C),22.1
27070,1058.4156596330974,4955.2511029243715,376.3481984606806,312.91590577551904,635.6390612544698,13.080732142703932,7351.650660190842,Whittlesea (C),10.5
27170,1614.7014157556573,4763.920692850688,430.9249634966951,637.7237266465061,1105.6908837443577,21.614546282238035,8574.576228776143,Wodonga (RC),21.8
27260,874.617605257837,4709.645125118745,278.48886803691397,359.9984692133833,579.5687833726681,33.18870736942245,6835.50755836897,Wyndham (C),13.1
27350,1401.8056170065208,9546.781354518902,1069.151452121574,1322.7589753329503,764.3238680198752,74.7344154672022,14179.555682467024,Yarra (C),22.4
27450,807.8237320852152,2862.8343201280013,309.02513852203253,355.3586909083425,476.6522130811669,22.401888847662946,4834.095983572422,Yarra Ranges (S),21.4
27630,1269.7240631762602,2581.188842994036,293.5722137055709,862.866603602248,562.7774265801147,96.5181906537542,5666.647340711985,Yarriambiack (S),42.5
