ppl_who_help_as_volunteer_perc, id, lga_name, lga_code, ppl_rated_their_cmty_good_vgood_for_cmty_and_sup_grps_perc, ppl_who_rated_their_cmty_as_a_pleasant_env_perc, ppl_who_are_def_able_to_get_help_from_nbrs_perc, ppl_who_rated_their_cmty_as_an_active_cmty_perc, ppl_who_attended_a_local_cmty_event_perc, ppl_who_feel_valued_by_society_perc
25.8,70,"Warrnambool (C)",26730,82.9,97.9,62.0,91.8,67.9,59.6
26.4,71,"Wellington (S)",26810,70.2,97.1,57.9,89.3,60.1,50.2
45.0,72,"West Wimmera (S)",26890,67.0,96.2,74.0,93.0,84.7,61.6
22.1,73,"Whitehorse (C)",26980,69.7,97.5,57.6,82.0,59.9,53.0
10.5,74,"Whittlesea (C)",27070,47.8,92.3,51.0,76.4,39.7,53.9
21.8,75,"Wodonga (RC)",27170,75.7,98.3,59.4,91.7,65.0,52.1
13.1,76,"Wyndham (C)",27260,54.1,89.9,50.5,77.3,41.6,48.5
22.4,77,"Yarra (C)",27350,63.9,92.7,43.9,82.8,60.2,61.1
21.4,78,"Yarra Ranges (S)",27450,63.6,94.9,60.2,86.7,60.0,50.5
42.5,79,"Yarriambiack (S)",27630,62.2,94.9,72.1,93.4,79.6,57.7
