lga_code,a_total,b_total,c_total,d_total,e_total,f_total,offence_total,lga_name,volunteer_rating_percentage,good_community_support_group_percentage,pleasant_community_environment_percentage,get_help_by_neighbour_percentage,active_community_percentage,attend_community_event_percentage,valued_by_society_percentage
20110,757.0182959849894,1962.8904127175897,308.67114886751176,753.6664591621445,310.3007185989403,58.392835185649176,4150.939870516825,Alpine (S),31.4,73.3,98.1,66.7,93.7,77.4,57.5
20260,2741.282606308138,4447.090153670112,1026.2313654552577,1458.4247731428081,1490.8709419958577,80.2733267367438,11244.173167308918,Ararat (RC),30.5,69.9,95.2,69.7,90.9,78.1,58.4
20570,1654.982096733962,6724.424868282347,423.47053158991883,700.7331893529561,1133.0351012499646,24.337906480215832,10660.983693689364,Ballarat (C),22.2,73.1,97.2,56.8,85.9,69.1,56.9
20660,958.2864519819699,4150.998946615263,294.0925950613301,321.34899928369464,1185.0410487710512,17.720303552260305,6927.488345265569,Banyule (C),19.3,61.0,97.4,62.4,81.9,53.1,52.9
20740,1772.2569392120683,3679.986280607524,469.9348338740665,709.0823012809797,988.7502171626996,48.38268992961864,7668.393262066958,Bass Coast (S),24.7,62.1,95.6,60.9,88.6,74.5,55.6
20830,1412.7956336659342,3766.134970812026,590.6369577859194,665.34341790226,834.5390987787065,62.528155664083485,7331.97823460893,Baw Baw (S),25.8,65.2,93.8,64.2,90.7,69.5,53.6
20910,504.90921947679544,3128.654441519578,232.80237623262275,259.47386255080716,318.5712791236556,9.570107788438323,4453.981286691897,Bayside (C),22.9,73.8,98.3,61.2,86.6,59.0,62.3
21010,2053.42850209239,3965.3282994042747,476.03209015482315,638.8880819861072,1341.8158595773323,64.39853521155743,8539.891368426484,Benalla (RC),28.5,65.9,96.7,68.5,93.3,75.1,57.2
21110,409.6410821283278,3174.894020132028,186.75132604300737,204.61591239908233,202.71619379093718,12.349148544579698,4190.967683037963,Boroondara (C),25.1,73.2,98.4,49.6,82.9,58.3,58.7
21180,1247.8574626493762,5950.6456905567375,672.184404234602,554.4874918048902,1001.6232156626022,15.644691978774706,9442.442956886984,Brimbank (C),10.1,40.4,91.8,46.0,74.1,34.3,50.8
