vic_erp, lga_name11, lga_code_2011, c_total, e_total, d_total, b_total, a_total, ref_period, grand_tot, lga_erp, f_total
6053355,"Hobsons Bay (C)",23110,257,920,411,4267,910,2016,6803,93377,38
6053355,"Horsham (RC)",23190,158,731,215,1241,523,2016,2876,19886,8
6053355,"Hume (C)",23270,1295,3510,1195,13962,3146,2016,23273,199220,165
6053355,"Indigo (S)",23350,26,61,47,199,78,2016,413,15549,2
6053355,"Kingston (C)",23430,709,1571,704,6971,1388,2016,11389,155995,46
6053355,"Knox (C)",23670,821,1341,646,6928,1633,2016,11402,158017,33
6053355,"Glen Eira (C)",22310,490,863,464,4555,910,2016,7304,148050,22
6053355,"Glenelg (S)",22410,88,246,126,858,294,2016,1616,19283,4
6053355,"Latrobe (C)",23810,591,3121,1116,6485,2832,2016,14168,73903,23
6053355,"Loddon (S)",23940,49,74,27,242,126,2016,519,7399,1
6053355,"Macedon Ranges (S)",24130,202,588,212,1153,432,2016,2607,46272,20
6053355,"Manningham (C)",24210,195,335,165,3346,744,2016,4793,121184,8
6053355,"Mansfield (S)",24250,46,63,89,346,97,2016,663,8392,22
6053355,"Maribyrnong (C)",24330,592,535,601,6455,947,2016,9168,86877,38
6053355,"Maroondah (C)",24410,625,1595,645,4548,1172,2016,8614,112971,29
6053355,"Melbourne (C)",24600,1938,3986,4074,21480,4459,2016,36087,137340,150
6053355,"Melton (S)",24650,638,1585,799,7565,1835,2016,12446,136539,24
6053355,"Mildura (RC)",24780,386,1018,616,3294,1197,2016,6522,53687,11
6053355,"Mitchell (S)",24850,250,803,317,2080,948,2016,4423,40732,25
6053355,"Moira (S)",24900,175,200,175,797,365,2016,1716,29155,4
6053355,"Monash (C)",24970,493,986,454,9170,1397,2016,12519,189236,19
6053355,"Moonee Valley (C)",25060,554,956,516,6561,1231,2016,9836,121382,18
6053355,"Moorabool (S)",25150,118,382,127,1420,425,2016,2482,32420,10
6053355,"Moreland (C)",25250,708,1499,604,10481,1803,2016,15143,170178,48
6053355,"Mornington Peninsula (S)",25340,700,1883,1197,6437,1728,2016,11966,157787,21
6053355,"Mount Alexander (S)",25430,72,281,123,687,339,2016,1508,18360,6
6053355,"Moyne (S)",25490,85,228,100,357,291,2016,1062,16503,1
6053355,"Murrindindi (S)",25620,29,49,78,376,174,2016,714,13713,8
6053355,"Nillumbik (S)",25710,97,357,90,1959,393,2016,2918,63090,22
6053355,"Northern Grampians (S)",25810,114,268,160,478,261,2016,1288,11657,7
6053355,"Port Phillip (C)",25900,805,960,945,8886,1529,2016,13179,108049,54
6053355,"Pyrenees (S)",25990,22,99,31,264,111,2016,529,6902,2
6053355,"Queenscliffe (B)",26080,1,3,4,99,6,2016,114,3035,1
6053355,"South Gippsland (S)",26170,78,310,85,685,340,2016,1504,28112,6
6053355,"Southern Grampians (S)",26260,119,265,134,516,279,2016,1319,15869,6
6053355,"Stonnington (C)",26350,722,657,741,8248,1099,2016,11482,112119,15
6053355,"Strathbogie (S)",26430,31,76,23,328,122,2016,594,9938,14
6053355,"Surf Coast (S)",26490,36,116,63,1002,201,2016,1419,29337,1
6053355,"Swan Hill (RC)",26610,138,441,261,858,444,2016,2159,20679,17
6053355,"Towong (S)",26670,15,28,45,118,67,2016,278,5740,5
6053355,"Wangaratta (RC)",26700,188,419,386,1060,481,2016,2590,27410,56
6053355,"Warrnambool (C)",26730,101,428,249,1299,436,2016,2520,33795,7
6053355,"Wellington (S)",26810,282,892,388,2026,1156,2016,4757,42467,13
6053355,"West Wimmera (S)",26890,16,19,16,64,52,2016,167,3933,0
6053355,"Whitehorse (C)",26980,262,856,314,5161,1118,2016,7727,168949,16
6053355,"Whittlesea (C)",27070,948,1878,694,10742,2194,2016,16481,200894,25
6053355,"Wodonga (RC)",27170,213,515,218,1759,691,2016,3402,39439,6
6053355,"Wyndham (C)",27260,667,2092,739,10186,2074,2016,15784,218553,26
6053355,"Yarra (C)",27350,879,1097,966,9934,1374,2016,14281,92225,31
6053355,"Yarra Ranges (S)",27450,686,1259,684,4725,1482,2016,8862,150939,26
6053355,"Yarriambiack (S)",27630,18,67,47,211,127,2016,473,6674,3
