vic_erp, lga_name11, lga_code_2011, c_total, e_total, d_total, b_total, a_total, ref_period, grand_tot, lga_erp, f_total
5632521,"Warrnambool (C)",26730,94,170,207,1089,319,2012,1889,33004,10
5632521,"Wellington (S)",26810,161,354,308,1870,790,2012,3504,42294,21
5632521,"West Wimmera (S)",26890,16,5,20,61,42,2012,148,4195,4
5632521,"Whitehorse (C)",26980,256,198,302,4705,841,2012,6362,159296,60
5632521,"Whittlesea (C)",27070,516,505,481,8667,1740,2012,11934,169955,25
5632521,"Wodonga (RC)",27170,152,258,294,2146,469,2012,3329,36576,10
5632521,"Wyndham (C)",27260,559,520,687,9731,1404,2012,12923,178859,22
5632521,"Yarra (C)",27350,885,267,1088,7439,1140,2012,10898,80987,79
5632521,"Yarra Ranges (S)",27450,347,359,418,4197,974,2012,6349,149235,54
5632521,"Yarriambiack (S)",27630,15,18,73,218,78,2012,408,7102,6
5733545,"Alpine (S)",20110,36,37,108,225,77,2013,487,12030,4
5733545,"Ararat (RC)",20260,263,141,165,534,270,2013,1384,11214,11
5733545,"Ballarat (C)",20570,355,758,738,6666,1545,2013,10070,98570,8
5733545,"Banyule (C)",20660,298,1312,485,5417,1187,2013,8712,124350,13
5733545,"Bass Coast (S)",20740,144,181,223,1066,546,2013,2174,30975,14
5733545,"Baw Baw (S)",20830,222,243,367,1762,533,2013,3166,45158,39
5733545,"Bayside (C)",20910,219,275,253,2888,432,2013,4079,98270,12
5733545,"Benalla (RC)",21010,63,102,95,518,287,2013,1076,13697,11
5733545,"Boroondara (C)",21110,293,229,399,5449,710,2013,7103,170382,23
5733545,"Brimbank (C)",21180,1259,1754,1139,12734,2544,2013,19465,195273,35
5733545,"Buloke (S)",21270,8,9,30,145,42,2013,243,6214,9
5733545,"Campaspe (S)",21370,82,202,254,1663,452,2013,2668,36898,15
5733545,"Cardinia (S)",21450,242,690,321,3496,1081,2013,5852,83980,22
5733545,"Casey (C)",21610,876,1166,868,9510,2937,2013,15394,274836,37
5733545,"Central Goldfields (S)",21670,37,115,142,485,274,2013,1060,12620,7
5733545,"Colac-Otway (S)",21750,72,106,152,638,273,2013,1270,20666,29
5733545,"Corangamite (S)",21830,40,62,62,323,135,2013,623,16108,1
5733545,"Darebin (C)",21890,503,493,568,7989,1658,2013,11249,146650,38
5733545,"East Gippsland (S)",22110,125,449,339,2146,797,2013,3875,43376,19
5733545,"Frankston (C)",22170,905,1520,1990,7703,1945,2013,14092,133425,29
5733545,"Gannawarra (S)",22250,24,34,85,273,135,2013,553,10311,2
5733545,"Golden Plains (S)",22490,8,17,40,254,88,2013,412,20131,5
5733545,"Greater Bendigo (C)",22620,333,1352,817,4594,1348,2013,8471,105222,27
5733545,"Greater Dandenong (C)",22670,1053,1834,1636,8972,2509,2013,16066,146578,62
5733545,"Greater Geelong (C)",22750,559,1250,1646,11024,2566,2013,17072,221290,27
5733545,"Greater Shepparton (C)",22830,528,571,688,3435,1047,2013,6289,62707,20
5733545,"Hepburn (S)",22910,13,21,42,443,92,2013,613,14807,2
5733545,"Hindmarsh (S)",22980,16,31,20,148,46,2013,263,5693,2
5733545,"Hobsons Bay (C)",23110,338,305,466,4734,893,2013,6764,89384,28
5733545,"Horsham (RC)",23190,74,179,216,1726,415,2013,2611,19666,1
5733545,"Hume (C)",23270,715,1341,871,9405,2646,2013,15039,183077,61
5733545,"Indigo (S)",23350,32,48,48,290,57,2013,485,15359,10
5733545,"Kingston (C)",23430,520,786,650,6092,1357,2013,9444,151533,39
5733545,"Knox (C)",23670,493,469,459,6075,1247,2013,8803,154760,60
5733545,"Latrobe (C)",23810,492,1472,938,5055,2314,2013,10287,73783,16
5733545,"Loddon (S)",23940,19,19,22,213,83,2013,359,7417,3
5733545,"Macedon Ranges (S)",24130,91,209,132,957,385,2013,1793,44056,19
5733545,"Glen Eira (C)",22310,246,326,292,4046,669,2013,5594,141379,15
5733545,"Glenelg (S)",22410,81,148,164,786,216,2013,1402,19500,7
5733545,"Manningham (C)",24210,196,302,171,2569,614,2013,3876,117409,24
5733545,"Mansfield (S)",24250,12,9,54,240,46,2013,378,8177,17
5733545,"Maribyrnong (C)",24330,576,257,700,5731,994,2013,8293,79222,35
5733545,"Maroondah (C)",24410,363,776,506,3742,919,2013,6355,109466,49
5733545,"Melbourne (C)",24600,1994,2572,5756,20842,3741,2013,35104,116330,199
5733545,"Melton (S)",24650,382,647,432,5729,1679,2013,8885,122786,16
5733545,"Mildura (RC)",24780,332,461,734,3011,969,2013,5516,52633,9
5733545,"Mitchell (S)",24850,138,218,275,1504,655,2013,2803,37325,13
5733545,"Moira (S)",24900,117,90,124,770,222,2013,1335,28645,12
5733545,"Monash (C)",24970,282,277,633,6562,1079,2013,8863,182300,30
5733545,"Moonee Valley (C)",25060,367,315,446,5340,1099,2013,7602,114979,35
5733545,"Moorabool (S)",25150,91,109,120,1173,261,2013,1758,30313,4
5733545,"Moreland (C)",25250,571,679,635,8408,1531,2013,11846,159867,22
