lga_code,a_total,b_total,c_total,d_total,e_total,f_total,offence_total,lga_name,ref_period
20110,652.4073003551077,1891.1553390040467,222.974646956809,635.8906598397886,231.2329672144686,24.77496077297878,3658.435874143199,Alpine (S),2012
20260,2320.2470224966914,5090.427878253198,335.24481693868546,1561.5350683722982,741.067490074989,123.51124834583149,10172.033524481694,Ararat (RC),2012
20570,1755.8157528240574,6803.528137411668,232.114303399185,580.8015680610719,710.7855779646154,22.6956207768092,10105.740960437406,Ballarat (C),2012
20660,974.1100323624595,3521.0355987055013,278.31715210355986,254.0453074433657,891.5857605177994,20.22653721682848,5939.320388349514,Banyule (C),2012
20740,1446.9558400836163,3635.35406323491,385.41938855500393,646.7206689312777,411.5495165926313,101.25424614580612,6627.2537235432455,Bass Coast (S),2012
20830,1160.3756546866534,3381.795195954488,270.9048221058335,528.2644031063753,327.34332671121547,13.545241105291673,5682.228643669857,Baw Baw (S),2012
20910,435.087429891125,3515.7538766083803,127.84559551303201,172.17914879577697,239.1949851534147,0.0,4490.0610359617285,Bayside (C),2012
21010,1347.3162916029423,3554.001893525599,502.51256281407035,655.4511688879178,589.906051999126,50.97953535794917,6700.167504187604,Benalla (RC),2012
21110,395.3507699248477,3079.1057711714493,168.58801600398914,218.45207707559155,120.50481425637251,20.776692113167673,4002.7781405454175,Boroondara (C),2012
21180,1233.6164358053938,6431.357133251264,563.7911593408298,435.5157396008979,629.4805879979724,17.068906658942556,9310.829962655302,Brimbank (C),2012
21270,802.5177025963809,2974.036191974823,94.41384736428009,802.5177025963809,78.67820613690007,15.735641227380016,4767.899291896145,Buloke (S),2012
21370,900.8034192658316,4339.005058565748,227.22969134633593,838.5857656829063,432.8184597073065,27.051153731706655,6765.493548299835,Campaspe (S),2012
21450,1126.1036564074425,3811.044046490747,300.5437222527062,400.30927320796127,326.7321793784606,14.964832643288274,5979.697710380606,Cardinia (S),2012
21610,1043.565984157824,3314.9006127634134,289.56807652069944,291.43625765954266,391.19713047377076,9.714541921984756,5340.382603497235,Casey (C),2012
21670,1406.8833955965345,3807.3285112471185,286.14577537556636,882.2828074079962,524.6005881885383,39.74246880216199,6946.983546617916,Central Goldfields (S),2012
21750,1468.6762652284874,3664.4676650455053,279.28925699426975,905.2824192228054,433.3798815428324,91.49130832570906,6842.586796359609,Colac-Otway (S),2012
21830,689.5710014035516,3338.01183865259,152.55995606273265,311.2223103679746,305.1199121254653,18.307194727527918,4814.792213339842,Corangamite (S),2012
21890,965.1481944953367,6000.37333812681,358.81942187899693,369.8812923030123,339.46114863697017,26.963309158537342,8060.646704599664,Darebin (C),2012
22110,1362.3725671918442,4033.8276181649676,176.08897126969416,773.8646895273401,611.6774791473587,76.45968489341983,7034.291010194625,East Gippsland (S),2012
22170,1504.3186544621035,5600.588976425764,496.37961655813103,1091.42796423638,1025.3958134098395,46.29840460251681,9764.409429694735,Frankston (C),2012
22250,1011.9506553585197,2447.9568234387048,240.940632228219,790.2852737085582,443.33076329992286,19.275250578257516,4953.739398612182,Gannawarra (S),2012
22490,364.663585002568,1412.4293785310736,66.76938880328711,77.04160246533128,92.44992295839754,5.136106831022086,2018.4899845916793,Golden Plains (S),2012
22620,1145.6976014671106,3838.617827324936,231.64905168669463,646.6869359586892,766.3722793301481,37.642970899087885,6666.666666666667,Greater Bendigo (C),2012
22670,1662.370419646322,5674.510782194136,671.4618326958257,1055.3522922556683,1059.5099506624535,47.12012861023339,10170.325406064638,Greater Dandenong (C),2012
22750,956.3323782234958,4939.369627507163,245.27220630372491,533.6389684813754,461.66189111747855,37.59312320916906,7173.868194842407,Greater Geelong (C),2012
22830,1418.7466935988073,5788.807130604851,686.1283444749034,1093.3166610558042,814.3766331618012,32.06207217172446,9833.437535067891,Greater Shepparton (C),2012
22910,699.3481803367736,3102.933188484519,61.10809342748506,325.9098316132537,244.43237370994024,27.159152634437802,4460.890820206409,Hepburn (S),2012
22980,726.5179034769071,2144.957619788964,570.8354955889984,674.6237675142709,242.17263449230236,0.0,4359.107420861443,Hindmarsh (S),2012
23110,902.8603794958935,5757.009345794393,278.6745964316058,475.78589634664405,205.04106485414894,64.57094307561597,7683.942225998301,Hobsons Bay (C),2012
23190,2434.9243543375273,4696.653252508788,560.3382405379247,1400.845601344812,891.4472008557893,56.03382405379247,10040.242473638633,Horsham (RC),2012
23270,1458.7101340193447,5557.927137513059,407.78727658761807,481.93041778536684,656.6161519709718,22.467618544772346,8585.438736421132,Hume (C),2012
23350,481.3634293891888,1879.9193391010213,117.0884017433162,552.917452676771,201.65224744682237,45.53437845573408,3278.475248812854,Indigo (S),2012
23430,859.2531363739384,3880.304504912875,254.64289999600035,405.9621102030477,474.62236857893265,75.32630287839802,5950.111322943192,Kingston (C),2012
23670,789.8669323276168,4042.488501322914,240.00051752133157,315.68801226525557,346.09239049572074,25.229164914641323,5759.3655188474795,Knox (C),2012
23810,2790.502831042824,6774.232780638099,540.5332360373509,1025.6618153808731,1575.6543830488777,31.080661072147677,12737.665707220172,Latrobe (C),2012
23940,1412.2035704769519,3290.7007727151613,173.19477751132428,359.71223021582733,293.09885424993337,173.19477751132428,5702.104982680523,Loddon (S),2012
24130,549.2106533079026,2300.250476825149,193.02801204127124,273.4563503918009,310.2235907806145,43.661097961716116,3669.830181308454,Macedon Ranges (S),2012
24210,438.3266687173177,2342.8688608633242,140.98226186814315,142.69113776957516,118.76687514952664,25.633138521480568,3209.2689428893673,Manningham (C),2012
