lga_code,lga_name,c_total,e_total,d_total,b_total,a_total,ref_period,offence_total,lga_erp,f_total
24130,Macedon Ranges (S),84,135,119,1001,239,2012,1597,43517,19
24210,Manningham (C),165,139,167,2742,513,2012,3756,117036,30
22310,Glen Eira (C),235,248,212,4201,626,2012,5546,139242,24
22410,Glenelg (S),55,81,138,820,193,2012,1293,19758,6
24250,Mansfield (S),18,39,53,238,66,2012,428,8052,14
24330,Maribyrnong (C),954,196,614,6183,945,2012,8921,76866,29
24410,Maroondah (C),244,818,368,3953,913,2012,6327,108168,31
24600,Melbourne (C),1602,2276,5890,18569,3567,2012,32052,105418,148
24650,Melton (S),370,340,449,5786,1368,2012,8415,117881,102
24780,Mildura (RC),260,422,750,2948,858,2012,5252,52197,14
24850,Mitchell (S),108,252,325,1249,559,2012,2534,36143,41
24900,Moira (S),96,121,167,837,197,2012,1422,28647,4
24970,Monash (C),214,233,288,6880,1032,2012,8658,179931,11
25060,Moonee Valley (C),340,340,493,5678,996,2012,7871,113513,24
25150,Moorabool (S),52,71,95,1032,211,2012,1472,29347,11
25250,Moreland (C),413,422,519,8490,1516,2012,11392,156657,32
25340,Mornington Peninsula (S),388,581,894,5725,1336,2012,8957,150830,33
25430,Mount Alexander (S),49,139,91,448,200,2012,934,17896,7
25490,Moyne (S),43,97,155,636,298,2012,1239,16226,10
25620,Murrindindi (S),39,26,97,298,117,2012,592,13423,15
25710,Nillumbik (S),114,110,111,1160,386,2012,1884,62751,3
25810,Northern Grampians (S),77,80,128,415,224,2012,928,11945,4
25900,Port Phillip (C),517,403,1269,6479,1476,2012,10313,100394,169
25990,Pyrenees (S),14,5,16,154,50,2012,239,6746,0
26080,Queenscliffe (B),0,6,9,82,12,2012,112,3085,3
26170,South Gippsland (S),53,111,154,701,206,2012,1227,27756,2
26260,Southern Grampians (S),45,59,180,506,180,2012,982,16372,12
26350,Stonnington (C),418,197,859,6167,1015,2012,8691,101187,35
26430,Strathbogie (S),20,14,40,251,80,2012,424,9666,19
26490,Surf Coast (S),21,47,153,951,131,2012,1321,27474,18
26610,Swan Hill (RC),110,181,237,849,423,2012,1809,20950,9
26670,Towong (S),14,14,50,138,62,2012,294,5910,16
26700,Wangaratta (RC),220,204,437,972,407,2012,2293,27221,53
26730,Warrnambool (C),94,170,207,1089,319,2012,1889,33004,10
26810,Wellington (S),161,354,308,1870,790,2012,3504,42294,21
26890,West Wimmera (S),16,5,20,61,42,2012,148,4195,4
26980,Whitehorse (C),256,198,302,4705,841,2012,6362,159296,60
27070,Whittlesea (C),516,505,481,8667,1740,2012,11934,169955,25
27170,Wodonga (RC),152,258,294,2146,469,2012,3329,36576,10
27260,Wyndham (C),559,520,687,9731,1404,2012,12923,178859,22
27350,Yarra (C),885,267,1088,7439,1140,2012,10898,80987,79
27450,Yarra Ranges (S),347,359,418,4197,974,2012,6349,149235,54
27630,Yarriambiack (S),15,18,73,218,78,2012,408,7102,6
20110,Alpine (S),36,37,108,225,77,2013,487,12030,4
20260,Ararat (RC),263,141,165,534,270,2013,1384,11214,11
20570,Ballarat (C),355,758,738,6666,1545,2013,10070,98570,8
20660,Banyule (C),298,1312,485,5417,1187,2013,8712,124350,13
20740,Bass Coast (S),144,181,223,1066,546,2013,2174,30975,14
20830,Baw Baw (S),222,243,367,1762,533,2013,3166,45158,39
